Time,Birthday,Sex,HighSchool,Height,Weight,NBrotherSister,FavouriteStudyCycle,CourseRythm,UniversityEvaluation,Informativa
2023-02-22T10:05:08Z,2003-07-22T00:00:00Z,Maschile,Liceo Scientifico,190.03376138010336,80.94697939390775,2,Università,2,5,Presto il consenso al trattamento dei dati
2023-02-24T08:04:26Z,2003-10-06T00:00:00Z,Femminile,Liceo Linguistico,NA,NA,2,Scuola superiore,3,4,Presto il consenso al trattamento dei dati
2023-02-24T08:05:10Z,2003-09-22T00:00:00Z,Maschile,Liceo Classico,181.14299454824547,75.50723239179183,2,Scuola superiore,2,4,Presto il consenso al trattamento dei dati
2023-02-24T08:06:09Z,2003-04-14T00:00:00Z,Maschile,Istituto Tecnico,177.17911242328913,71.35610984798278,1,Università,2,4,Presto il consenso al trattamento dei dati
2023-02-24T08:07:59Z,2003-01-16T00:00:00Z,Maschile,Liceo Scientifico,181.30504106642874,76.81512216239892,2,Università,3,4,Presto il consenso al trattamento dei dati
2023-02-24T08:48:41Z,2000-08-24T00:00:00Z,Maschile,Liceo Scientifico,189.22236833081377,86.08039645511617,2,Università,2,3,Presto il consenso al trattamento dei dati
2023-02-24T10:24:43Z,1999-01-12T00:00:00Z,Maschile,Liceo Scientifico,169.3831576765808,87.7250900737783,2,Scuola media,2,3,Presto il consenso al trattamento dei dati
2023-02-24T10:24:46Z,2000-03-27T00:00:00Z,Maschile,Liceo Scientifico,178.65105552439576,69.47672975361675,3,Scuola superiore,2,3,Presto il consenso al trattamento dei dati
2023-02-24T10:24:47Z,2000-01-22T00:00:00Z,Maschile,Istituto Tecnico,175.4932337738777,73.08672236087213,1,Università,2,4,Presto il consenso al trattamento dei dati
2023-02-24T10:24:55Z,2002-07-10T00:00:00Z,Femminile,Liceo Scientifico,NA,NA,2,Università,2,4,Presto il consenso al trattamento dei dati
2023-02-24T10:25:01Z,2003-09-08T00:00:00Z,Maschile,Liceo Scientifico,164.98101701320334,60.09556925492922,1,Università,3,4,Presto il consenso al trattamento dei dati
2023-02-24T10:25:29Z,1998-08-19T00:00:00Z,Maschile,Liceo Linguistico,174.03281682406487,60.26907354824353,3,Università,2,4,Presto il consenso al trattamento dei dati
2023-02-24T10:25:44Z,2003-12-12T00:00:00Z,Femminile,Liceo Classico,171.52780068340067,56.84079596983796,2,Scuola superiore,2,3,Presto il consenso al trattamento dei dati
2023-02-24T10:26:13Z,2001-04-15T00:00:00Z,Maschile,Liceo Scientifico,189.6971620084955,106.50189738243549,2,Università,2,3,Presto il consenso al trattamento dei dati
2023-02-24T10:26:16Z,2001-09-30T00:00:00Z,Maschile,Liceo Scientifico,177.57447490551638,97.67073702003579,2,Scuola superiore,2,4,Presto il consenso al trattamento dei dati
2023-02-24T10:26:39Z,1993-06-07T00:00:00Z,Maschile,Liceo Scientifico,194.63855419332936,76.828177017979,2,Università,1,3,Presto il consenso al trattamento dei dati
2023-02-24T10:27:29Z,1999-11-25T00:00:00Z,Femminile,Liceo Scientifico,166.4159432668639,57.92907946338297,3,Università,2,4,Presto il consenso al trattamento dei dati
2023-02-24T10:58:06Z,1994-03-11T00:00:00Z,Maschile,Istituto Professionale,180.7401589398626,113.60238728775953,5,Università,2,5,Presto il consenso al trattamento dei dati
2023-02-24T10:37:22Z,2003-07-18T00:00:00Z,Maschile,Liceo Scientifico,178.96998881828904,71.62241334971587,1,Università,2,3,Presto il consenso al trattamento dei dati
2023-02-24T10:52:02Z,2004-01-13T00:00:00Z,Maschile,Istituto Tecnico,179.61742550929307,76.50096258203004,1,Università,2,4,Presto il consenso al trattamento dei dati
2023-02-24T10:53:18Z,2003-12-26T00:00:00Z,Maschile,Liceo Artistico,195.2621614799278,76.93178334966791,1,NA,NA,NA,NA
2023-02-24T16:51:02Z,2003-01-29T00:00:00Z,Maschile,Liceo Scientifico,181.54105999448277,86.50201235879823,4,Università,2,3,Presto il consenso al trattamento dei dati
